"Presence_absence","Longitude","Latitude","Day","Month","Year","dayl_mean","prcp_mean","srad_mean","tmax_mean","tmin_mean","vp_mean"
1,-97.39,35.65,13,"March",2020,42574.84375,15.0487499237061,207.971252441406,15.5349998474121,7.51999998092651,1071.56872558594
1,-97.39,35.65,7,"September",2020,44723.7890625,5.88374996185303,287.891265869141,26.2325000762939,15.8237495422363,1865.10998535156
0,-95.45,38.97,7,"September",2020,44918.97265625,4.06750011444092,284.043731689453,23.7250003814697,13.8924999237061,1641.95251464844
1,-97.39,35.65,25,"April",2021,47941.92578125,4.48000001907349,359.407501220703,23.8187503814697,12.8175001144409,1405.37377929688
1,-95.45,38.97,30,"April",2021,48555.8984375,3.66000008583069,402.466247558594,23.5212497711182,10.1187496185303,1241.14379882812
1,-94.8,37.35,11,"August",2020,49183.421875,5.63125038146973,372.952514648438,30.7700004577637,18.6774997711182,2204.87890625
1,-94.68,38.51,4,"August",2020,49452.89453125,4.63000011444092,377.859985351562,29.0125007629395,17.8250007629395,2090.4462890625
0,-95.45,38.97,6,"August",2020,49558.08984375,1.54999995231628,376.018768310547,29.5587501525879,18.90625,2239.16625976562
1,-94.8,37.35,23,"August",2020,47101.89453125,0,449.163757324219,32.5825004577637,17.0762500762939,1863.61743164062
1,-97.86,37.81,26,"August",2020,47167.4921875,0.180000007152557,459.850006103516,33.4962501525879,17.1100006103516,1952.50756835938
1,-99.55,39.38,27,"August",2020,47403.8984375,0,445.03125,36.0400009155273,17.5637512207031,2009.12121582031
0,-97.39,35.65,22,"August",2020,46870.77734375,0.623749971389771,430.893737792969,33.9487495422363,18.5925006866455,2146.68359375
0,-96.49,38.69,25,"August",2020,47301.25,0,456.533752441406,33.1199989318848,17.7837505340576,2029.74621582031
1,-94.8,37.35,28,"September",2020,42462.68359375,1.03125,376.350006103516,25.7275009155273,12.6712503433228,1476.86865234375
0,-97.39,35.65,24,"September",2020,42506.09765625,1.1949999332428,342.641235351562,26.3500003814697,14.3599996566772,1657.42993164062
